,Mineral Name,RRUFF Chemistry (plain),IMA Chemistry (plain),Chemistry Elements,IMA Number,RRUFF IDs,Country of Type Locality,Year First Published,IMA Status,Structural Groupname,Fleischers Groupname,Status Notes,Crystal Systems,Space Groups,Oldest Known Age (Ma),Valence Elements,Paragenetic Modes
2692,Kentbrooksite,"(Na,La3+)15(Ca,La3+)6Mn2+3Zr4+3Nb5+Si25O73(O,OH,H2O)3(F,Cl)2","(Na,REE)15(Ca,REE)6Mn3Zr3Nb(Si25O73)(O,OH,H2O)3(F,Cl)2",Na REE Ca Mn Zr Nb Si O H F Cl,IMA1996-023,R110208,Denmark (Greenland),1996,Approved,Eudialyte,eudialyte,"Johnsen O, Grice J D, Gault R A (1998) Kentbrooksite from the Kangerdlugssuaq intrusion, East Greenland, a new Mn-REE-Nb-F end-member in a series within the eudialyte group: Description and crystal structure, European Journal of Mineralogy 10, 207-219",hexagonal,R3|R3m,2500.0,Na La^3+ Ca Mn^2+ Zr^4+ Nb^5+ Si O H F Cl,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
2693,Kentrolite,Pb2+2Mn3+2O2(Si2O7),Pb2Mn3+2O2(Si2O7),Pb Mn O Si,nan,R060245,Chile,1881,"Approved,Grandfathered", , ,"Damour A A, vom Rath G (1881) Ueber den Kentrolith, eine neue Mineralspecies, Zeitschrift für Krystallographie und Mineralogie 5, 32-35",orthorhombic,Pbcn|P2_122_1,1890.0,Pb^2+ Mn^3+ O Si,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
2694,Kenyaite,Na2Si22O41(OH)8·6H2O,Na2Si22O41(OH)8·6H2O,Na Si O H,IMA1967-018,nan,Kenya,1967,Approved, , ,"Eugster H P (1967) Hydrous sodium silicates from Lake Magadi, Kenya: Precursors of bedded chert, Science 157, 1177-1180",tetragonal,nan,946.0,Na Si O H,"Abiotic, Secondary; Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration"
2695,Keplerite,Ca9(Ca0.5[box]0.5)Mg(PO4)7,Ca9(Ca0.5[box]0.5)Mg(PO4)7,Ca Mg P O,IMA2019-108,nan,Russia (meteorite) / Israel,2020,Approved,Cerite, ,"Britvin S N, Galuskina I O, Vlasenko N S, Vereshchagin O S, Bocharov V N, Krzhizhanovskaya M G, Shilovskikh V V, Galuskin E V, Vapnik Y, Obolonskaya E V (2021) Keplerite, Ca_9_(Ca_0.5_[box]_0.5_)Mg(PO_4_)_7_, a new meteoritic and terrestrial phosphate isomorphous with merrillite, Ca_9_NaMg(PO_4_)_7_. American Mineralogist 106, 1917-1927",hexagonal,R3c,,Ca Mg P O,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
2696,Kerimasite,Ca3Zr4+2(Fe3+2Si)O12,Ca3Zr2(SiFe3+2)O12,Ca Zr Si Fe O,IMA2009-029,nan,Tanzania,2009,Approved,Garnet, ,"Zaitsev A N, Williams C T, Britvin S N, Kuznetsova I V, Spratt J, Petrov S V, Keller J (2010) Kerimasite, Ca_3_Zr_2_(Fe^3+^_2_Si)O_12_, a new garnet from carbonatites of Kerimasi volcano and surrounding explosion craters, northern Tanzania, Mineralogical Magazine 74, 803-820",cubic,Ia3d,354.0,Ca Zr^4+ Fe^3+ Si O,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
2697,Kermesite,Sb3+2OS2-2,Sb2OS2,Sb O S,nan,R060742,Germany,1832,"Approved,Grandfathered", , ,"Beudant F S (1832) Kermès, antimoine rouge, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 617-618",triclinic,F-1|P-1,2906.0,Sb^3+ O S^2-,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
2698,Kernite,Na2B4O6(OH)2·3H2O,Na2B4O6(OH)2·3H2O,Na B O H,nan,R050661,USA,1927,"Approved,Grandfathered", , ,"Schaller W T (1927) Kernite, a new sodium borate, American Mineralogist 12, 24-25",monoclinic,P2_1/c,385.0,Na B O H,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM25 - Evaporites (prebiotic)"
2699,Kernowite,Cu2+2Fe3+(As5+O4)(OH)4·4H2O,Cu2Fe3+(AsO4)(OH)4·4H2O,Cu Fe As O H,IMA2020-053,nan,United Kingdom,2020,Approved,Liroconite, ,"Rumsey M S, Welch M D, Spratt J, Kleppe A K, Števko M (2021) Kernowite, Cu_2_Fe(AsO_4_)(OH)_4_⋅4H_2_O, the Fe^3+^-analogue of liroconite from Cornwall, UK. Mineralogical Magazine 85, 283-290",monoclinic,I2/a,,Cu^2+ Fe^3+ As^5+ O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
2700,Kesebolite-(Ce),CeCa2Mn2+(As5+O4)(SiO3)3,CeCa2Mn(AsO4)(SiO3)3,Ce Ca Mn As O Si,IMA2019-097,nan,Sweden,2020,Approved,Not in a structural group, ,"Holtstam D, Bindi L, Karlsson A, Langhof J, Zack T, Bonazzi P, Persson A (2020) Kesebolite-(Ce), CeCa_2_Mn(AsO_4_)[SiO_3_]_3_, a new REE-bearing arsenosilicate mineral from the Kesebol mine, Åmål, Västra Götaland, Sweden. Minerals 10, 385",monoclinic,P2_1/c,,Ce Ca Mn^2+ As^5+ O Si,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
2701,Kësterite,Cu1+2Zn2+Sn4+S2-4,Cu2ZnSnS4,Cu Zn Sn S,nan,R120098,Russia,1956,"Approved,Grandfathered","Sphalerite, Stannite",stannite,"Fleischer M (1958) New mineral names, American Mineralogist 43, 1219-1225",tetragonal,I-4|I-42m,2716.0,Cu^1+ Zn^2+ Sn^4+ S^2-,"Abiotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits"
2702,Kettnerite,CaBi3+O(CO3)F,CaBiO(CO3)F,Ca Bi O C F,nan,R130113,Czech Republic,1956,"Approved,Grandfathered",Bismutite, ,"Zak L, Synecek V (1956) Kettnerite, (CaF)(BiO)CO_3_, a new mineral of the phosgenite-bismutite group: preliminary note, Casopis pro Mineralogii a Geologii 1, 195-197",orthorhombic,Pmmn|Pbaa,543.0,Ca Bi^3+ O C F,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM33 - Hydrothermal metal deposits"
2703,Keutschite,Ag1+Cu2AsS2-4,Cu2AgAsS4,Cu Ag As S,IMA2014-038,nan,Peru,2014,"Approved,Pending publication","Sphalerite, Stannite", ,"Topa, D., Takagi Fredrickson, R. and Stanley, C. (2014) Keutschite, IMA 2014-038. CNMNC Newsletter No. 21, August 2014, page 804; Mineralogical Magazine, 78, 797-804.",tetragonal,I-42m,201.0,Ag^1+ Cu As S^2-,"Abiotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits"
2704,Keyite,([box]0.5Cu2+0.5)Cu2+Cd2+Zn2+2(As5+O4)3·H2O,([box]0.5Cu0.5)CuCdZn2(AsO4)3·H2O,Cu Cd Zn As O H,IMA1975-002,R050585 R090039,Namibia,1975,Approved,Alluaudite, ,"Embrey P G, Fejer E E, Clark A M (1977) Keyite: a new mineral from Tsumeb, The Mineralogical Record 8, 87-90

Chemical formula changed from Cu^2+^_3_Zn_4_Cd_2_(AsO_4_)_6_·2H_2_O:
Hatert F (2019) A new nomenclature scheme for the alluaudite supergroup. European Journal of Mineralogy 31, 807-822",monoclinic,I2/a,541.0,Cu^2+ Cd^2+ Zn^2+ As^5+ O H,"Abiotic, Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM46 - Near-surface hydrothermal alterations, PM47 - Low-T subaerial oxidative hydration/weathering"
2705,Keystoneite,Mg0.5Ni2+Fe3+(Te4+O3)3·4H2O,Mg0.5NiFe3+(Te4+O3)3·4H2O,Mg Ni Fe Te O H,IMA1987-049,R070660 R070661,USA,1987,Approved,Zemannite,zemannite,"Missen O P, Back M E, Mills S J, Roberts A C, LePage Y, Pinch W W, Mandarino J A (2021) Crystal chemistry of zemannite-type structures: III. Keystoneite, the Ni^2+^-analogue of zemannite, and ferrotellurite discredited. The Canadian Mineralogist 59, 355-364",hexagonal,P6_3/m|P6_3,65.5,Mg Ni^2+ Fe^3+ Te^4+ O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
2706,Khademite,Al(S6+O4)F·5H2O,Al(SO4)F·5H2O,Al S O F H,IMA1973-028,nan,Iran,1973,"Approved,Redefined",Khademite, ,"Bariand P, Berthelon J P, Cesbron F, Sadrzadeh M (1973) Un nouveau sulfate hydraté d'aluminum: la khademite de Saghand (Iran), Comptes Rendus de L’Académie des Sciences Paris 277D, 1585-1588

Redefined when type sample was shown to be F-dominant:
Cesbron F, Bayliss P (1988) Mineralogical notes: mineral nomenclature: khademite, Mineralogical Magazine 52, 133-134",orthorhombic,Pcab,521.0,Al S^6+ O F H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals, PM55 - Anthropogenic mine minerals"
2707,Khaidarkanite,Cu2+4Al3(OH)14F3·2H2O,Cu4Al3(OH)14F3·2H2O,Cu Al O H F,IMA1998-013,R060322,Kyrgyzstan,1998,Approved,Cyanotrichite, ,"Chukanov N V, Karpenko V Y, Rastsvetaeva R K, Zadov A E, Kuz'mina O V (1999) Khaidarkanite Cu_4_Al_3_(OH)_14_F_3_·2H_2_O, new mineral from Khaidarkan deposit, Kyrgyzstan, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 128(3), 58-63",monoclinic,C2/m,599.0,Cu^2+ Al O H F,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
2708,Khamrabaevite,Ti4+C4-,TiC,Ti C,IMA1983-059,nan,Uzbekistan,1983,Approved,Rocksalt,tantalcarbide,"Novgorodova M I, Yusupov R G, Dmitrieva M T, Tsepin A I, Sivtsov A V, Gorshkov A I (1984) Khamrabaevite, (Ti,V,Fe)C, a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 113, 697-703",cubic,Fm3m,4567.61,Ti^4+ C^4-,"Abiotic, Primary; Stage 0: Pre-terrestrial Ur-minerals, PM1 - Stellar atmosphere condensates, Stage 1: Primary nebular phases, PM3 - Solar nebular condensates, Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
2709,Khanneshite,"(Na,Ca)3(Ba,Sr,Ce,Ca)3(CO3)5","(Na,Ca)3(Ba,Sr,Ce,Ca)3(CO3)5",Na Ca Ba Sr Ce C O,IMA1981-025,R070672,Afghanistan,1981,Approved,Burbankite,burbankite,"Eremenko G E, Bel´ko V A (1982) Khanneshite, (Na,Ca)_3_(Ba,Sr,RE,Ca)_3_(CO_3_)_5_, a new mineral of the burbankite group, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 111(3), 321-324",hexagonal,P6_3mc,500.0,Na Ca Ba Sr Ce C O,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
2710,Kharaelakhite,"(Cu,Pt,Pb,Fe,Ni)9S8","(Cu,Pt,Pb,Fe,Ni)9S8",Cu Pt Pb Fe Ni S,IMA1983-080,nan,Russia,1983,Approved,Pentlandite, ,"Genkin A D, Evstigneeva T L, Byelsov L N, Laputina I P (1985) Kharaelakhite (Pt,Cu,Pb,Fe,Ni)_9_S_8_ - a new sulphide of platinum, copper and lead, Mineralogiceskij Zhurnal 7, 78-83",orthorhombic,Pmmm,251.3,Cu Pt Pb Fe Ni S,"Abiotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits"
2711,Khatyrkite,CuAl2,CuAl2,Cu Al,IMA1983-085,nan,Russia (meteorite),1983,Approved,Khatyrkite, ,"Razin L V, Rudashevskii N S, Vyal'sov L N (1985) New natural intermetallic compounds of aluminum, copper and zinc – khatyrkite CuAl_2_, cupalite CuAl and zinc aluminides – from hyperbasites of dunite–harzburgite formation, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 114(1), 90-100",tetragonal,I4/mcm,,Cu Al,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
2712,Khesinite,Ca4(Mg2Fe3+10)O4(Fe3+10Si2)O36,Ca4(Mg2Fe3+10)O4(Fe3+10Si2)O36,Ca Mg Fe O Si,IMA2014-033,nan,Israel,2014,Approved,Sapphirine, ,"Galuskina I O, Galuskin E V, Pakhomova A S, Widmer R, Armbruster T, Krüger B, Grew E S, Vapnik Y, Dzierażanowski P, Murashko M (2017) Khesinite, Ca_4_Mg_2_Fe^3+^_10_O_4_[(Fe^3+^_10_Si_2_)O_36_], a new rhönite-group (sapphirine supergroup) mineral from the Negev Desert, Israel - natural analogue of the SFCA phase. European Journal of Mineralogy 29, 101-116
",triclinic,P-1,16.0,Ca Mg Fe^3+ O Si,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
2713,Khibinskite,K2Zr4+Si2O7,K2ZrSi2O7,K Zr Si O,IMA1973-014,nan,Russia,1973,Approved, , ,"Khomyakov A P, Voronkov A A, Lebedeva S I, Bykov V P, Yurkiva K V (1974) Khibinskite, K_2_ZrSi_2_O_7_, a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 103(1), 110-116",monoclinic,P2_1/b,413.6,K Zr^4+ Si O,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
2714,Khinite,Cu2+3Pb2+Te6+O6(OH)2,Cu2+3PbTe6+O6(OH)2,Cu Pb Te O H,IMA1978-035,R080124,USA,1978,Approved, , ,"Williams S A (1978) Khinite, parakhinite, and dugganite, three new tellurates from Tombstone, Arizona, American Mineralogist 63, 1016-1019

Chemical formula revised:
Cooper M A, Hawthorne F C, Back M E (2008) The crystal structure of khinite and polytypism in khinite and parakhinite, Mineralogical Magazine 72, 763-770

The mineral formerly known as khinite is the polytype -4O, while the mineral formerly known as parakhinite is polytpe -3T, according to IMA2008-C:
Hawthorne F C, Cooper M A, Back M E (2009) Khinite-4O [= khinite] and khinite-3T [= parakhinite], The Canadian Mineralogist 47, 473-476 ",hexagonal|orthorhombic,Fdd2|P3_2,946.0,Cu^2+ Pb^2+ Te^6+ O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
2715,Khmaralite,Mg4(Mg3Al9)O4[Si5Be2Al5O36],Mg4(Mg3Al9)O4[Si5Be2Al5O36],Mg Al O Si Be,IMA1998-027,nan,Antarctica,1998,Approved,Sapphirine,aenigmatite,"Barbier J, Grew E S, Moore P B, Su S (1999) Khmaralite, a new beryllium-bearing mineral related to sapphirine: a superstructure resulting from partial ordering of Be, Al, and Si on tetrahedral sites, American Mineralogist 84, 1650-1660

Chemical formula revised:
Grew E S, Hålenius U, Pasero M, Barbier J (2008) Recommended nomenclature for the sapphirine and surinamite group (sapphirine supergroup), Mineralogical Magazine 72, 839-876",monoclinic,P2_1/c,2485.0,Mg Al O Si Be,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
2716,Khomyakovite,"Na12Ca6Sr3Fe2+3W6+Zr4+3(Si25O73)(O,OH,H2O)3(Cl,OH)2","Na12Sr3Ca6Fe3Zr3W(Si25O73)(O,OH,H2O)3(Cl,OH)2",Na Sr Ca Fe Zr W Si O H Cl,IMA1998-042,nan,Canada,1998,Approved,Eudialyte,eudialyte,"Johnsen O, Gault R A, Grice J D, Ercit T S (1999) Khomyakovite and manganokhomyakovite, two new members of the eudialyte group from Mont Saint-Hilaire, Quebec, Canada, The Canadian Mineralogist 37, 893-899",hexagonal,R3m,124.0,Na Ca Sr Fe^2+ W^6+ Zr^4+ Si O H Cl,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
2717,Khorixasite,(Bi3+0.67[box]0.33)Cu2+(V5+O4)(OH),(Bi0.67[box]0.33)Cu(VO4)(OH),Bi Cu V O H,IMA2016-048,nan,Namibia,2016,"Approved,Pending publication",Descloizite, ,"Mills, S.J., Christy, A.G., Birch,W. D., Bourgoin, V. and Boulliard, J.-C. (2016) Khorixasite, IMA 2016-048. CNMNC Newsletter No. 33, October 2016, page 1139; Mineralogical Magazine, 80, 1135–1144",monoclinic,P2/m,900.0,Bi^3+ Cu^2+ V^5+ O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
2718,Khrenovite,Na3Fe3+2(As5+O4)3,Na3Fe3+2(AsO4)3,Na Fe As O,IMA2017-105,nan,Russia,2018,"Approved,Pending publication",Alluaudite, ,"Pekov, I.V., Koshlyakova, N.N., Belakovskiy, D.I., Vigasina, M.F., Zubkova, N.V., Agakhanov, A.A., Britvin, S.N., Sidorov, E.G. and Pushcharovsky, D.Y. (2018) Khrenovite, IMA 2017-105. CNMNC Newsletter No. 42, April 2018, page 448; Mineralogical Magazine, 82, 445–451",monoclinic,C2/c,3.6e-05,Na Fe^3+ As^5+ O,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
2719,Khristovite-(Ce),CaCe3+(MgAlMn2+)(Si2O7)(SiO4)F(OH),CaCe(MgAlMn2+)[Si2O7][SiO4]F(OH),Ca Ce Mg Al Mn Si O F H,IMA1991-055,nan,Kyrgyzstan,1991,Approved,"Epidote, dollaseite",epidote,"Pautov L A, Khorov P V, Ignatenko K I, Sokolova E V, Nadezhina T N (1993) Khristovite-(Ce), (Ca,REE)REE(Mg,Fe)AlMnSi_3_O_11_(OH)(F,O), a new mineral of the epidote group, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 122(3), 103-111",monoclinic,P2_1/m,510.0,Ca Ce^3+ Mg Al Mn^2+ Si O F H,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
2720,Khurayyimite,Ca7Zn2+4(Si2O7)2(OH)10·4H2O,Ca7Zn4(Si2O7)2(OH)10·4H2O,Ca Zn Si O H,IMA2018-140,nan,Jordan,2019,"Approved,Pending publication",Not in a structural group, ,"Galuskina, I.O., Kru¨ger, B., Galuskin, E.V., Vapnik, Y. and Murashko, M. (2019) Khurayyimite, IMA 2018-140. CNMNC Newsletter No. 48, April 2019, page 401; European Journal of Mineralogy, 31, 399–402",monoclinic,P2_1/c,,Ca Zn^2+ Si O H,"Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
2721,Khvorovite,Pb2+4Ca2[Si8B2(SiB)O28]F,Pb4Ca2[Si8B2(SiB)O28]F,Pb Ca Si B O F,IMA2014-050,nan,Tajikistan,2014,Approved,Hyalotekite, ,"Pautov L A, Agakhanov A A, Sokolova E, Hawthorne F C, Karpenko V Y, Siidra O I, Garanin V K, Abdu Y A (2015) Khvorovite, Pb^2+^_4_Ca_2_[Si_8_B_2_(SiB)O_28_]F, a new hyalotekite-group mineral from the Darai-Pioz alkaline massif, Tajikistan: description and crystal structure. Mineralogical Magazine 79, 949-963",triclinic,P-1,359.0,Pb^2+ Ca Si B O F,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
2722,Kiddcreekite,Cu6WSnS8,Cu6WSnS8,Cu W Sn S,IMA1982-106,nan,Canada,1982,Approved, , ,"Harris D C, Roberts A C, Thorpe R I, Criddle A J, Stanley C J (1984) Kiddcreekite, a new mineral species from the Kidd Creek mine, Timmins, Ontario and from the Campbell orebody, Bisbee, Arizona, The Canadian Mineralogist 22, 227-232",cubic,nan,2716.0,Cu W Sn S,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
2723,Kidwellite,NaFe3+9+x(PO4)6(OH)11·3H2O (x ≈ 1/3),NaFe3+9+x(PO4)6(OH)11·3H2O (x ≈ 0.33),Na Fe P O H,IMA1974-024,R060324 R070106,USA,1974,Approved, , ,"Moore P B, Ito J (1978) Kidwellite, NaFe^3+^_9_(OH)_10_(PO_4_)_6_·5H_2_O, a new species, Mineralogical Magazine 42, 137-140

Chemical formula revised:
Kolitsch U (2004) The crystal structures of kidwellite and ‘laubmannite’, two complex fibrous iron phosphates, Mineralogical Magazine 68, 147-165",monoclinic,P2/c,2046.0,Na Fe^3+ P O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
2724,Kieftite,CoSb3,CoSb3,Co Sb,IMA1991-052,nan,Sweden,1991,Approved,"Perovskite, Skutterudite",skutterudite,"Dobbe R T M, Lustenhouwer W J, Zakrzewski M A (1994) Kieftite, CoSb_3_, a new member of the skutterudite group from Tunaberg, Sweden, The Canadian Mineralogist 32, 179-183",cubic,Im3,1924.0,Co Sb,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
2725,Kieserite,MgS6+O4·H2O,Mg(SO4)·H2O,Mg S O H,nan,nan,Germany,1861,Approved,Kieserite,kieserite,"Reichardt E (1860) Das Steinsalzbergwerk Stassfurth Bei Magdeburg. Novorum Actorum Academiae Caesareae Leopoldino-Carolinae Germanicae Naturae Curiosorum 27, 609-659",monoclinic,C2/c,2500.0,Mg S^6+ O H,"Abiotic, Biotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
2726,Kihlmanite-(Ce),Ce3+2Ti4+O2(SiO4)(HCO3)2·H2O,Ce2TiO2(SiO4)(HCO3)2(H2O),Ce Ti O Si H C,IMA2012-081,nan,Russia,2012,Approved,Tundrite, ,"Yakovenchuk V N, Krivovichev S V, Ivanyuk G Y, Pakhomovsky Y A, Selivanova E A, Zhitova E A, Kalashnikova G O, Zolotarev A A, Mikhailova J A, Kadyrova G I (2014) Kihlmanite-(Ce), Ce_2_TiO_2_[SiO_4_](HCO_3_)_2_(H_2_O), a new rare-earth mineral from the pegmatites of the Khibiny alkaline massif, Kola Peninsula, Russia. Mineralogical Magazine 78, 483-496",triclinic,P-1,413.6,Ce^3+ Ti^4+ O Si H C,"Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
2727,Kilchoanite,Ca6(SiO4)(Si3O10),Ca6(SiO4)(Si3O10),Ca Si O,nan,nan,United Kingdom,1961,"Approved,Grandfathered", , ,"Agrell S O, Gay P (1961) Kilchoanite, a polymorph of rankinite, Nature 189, 743-743",orthorhombic,I2cm,252.0,Ca Si O,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
2728,Killalaite,Ca3.2[H0.6Si2O7](OH),Ca6.4[H0.6Si2O7]2(OH)2,Ca H Si O,IMA1973-033,nan,Ireland,1973,Approved, , ,"Nawaz R (1974) Killalite, a new mineral from Co. Sligo, Ireland, Mineralogical Magazine 39, 544-548

Chemical formula revised:
Taylor H F W (1997) The crystal structure of killalaite, Mineralogical Magazine 41, 363-369",monoclinic,P2_1/m,3.0,Ca H Si O,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM31 - Contact metamorphism"
2729,Kimrobinsonite,"Ta5+(OH)3(O,CO3)","Ta(OH)3(O,CO3)",Ta O H C,IMA1983-023,nan,Australia,1983,Approved, , ,"Nickel E H, Robinson B W (1985) Kimrobinsonite, a new tantalum mineral from Western Australia, and its association with cesstibtantite, The Canadian Mineralogist 23, 573-576",cubic,nan,2644.0,Ta^5+ O H C,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
2730,Kimuraite-(Y),CaY2(CO3)4·6H2O,CaY2(CO3)4·6H2O,Ca Y C O H,IMA1984-073,R050586,Japan,1984,Approved,Tengerite, ,"Nagashima K, Miyawaki R, Takase J, Nakai I, Sakurai K, Matsubara S, Kato A, Iwano S (1986) Kimuraite, CaY_2_(CO_3_)_4_·6H_2_O, a new mineral from fissures in an alkali olivine basalt from Saga Prefecture, Japan, and new data on lokkaite, American Mineralogist 71, 1028-1033

Name changed from kimuraite to kimuraite-(Y):
Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042",orthorhombic,nan,1890.0,Ca Y C O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
2731,Kimzeyite,Ca3Zr4+2(Al2Si)O12,Ca3Zr2(SiAl2)O12,Ca Zr Si Al O,nan,R060148,USA,1961,Approved,Garnet,garnet,"Milton C, Blade L V (1958) Preliminary note on kimzeyite, a new zirconium garnet. Science 127, 1343-1343

Chemical formula changed from Ca_3_(Zr,Ti)_2_(Si,Al,Fe^3+^)_3_O_12_:
Grew E S, Locock A J, Mills S J, Galuskina I O, Galuskin E V, Hålenius U (2013) Nomenclature of the garnet supergroup. American Mineralogist 98, 785-811",cubic,Ia-3d,608.4,Ca Zr^4+ Al Si O,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
2732,Kingite,Al3(PO4)2F2(OH)·7H2O,Al3(PO4)2F2(OH)·7H2O,Al P O F H,nan,R060997,Australia,1957,"Approved,Grandfathered", , ,"Norrish K, Rogers L E R, Shapter R E (1957) Kingite, a new hydrated aluminum phosphate mineral from Robertstown, South Australia, Mineralogical Magazine 31, 351-357",triclinic,P-1,101.0,Al P O F H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
